roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,domain,fs_hz,mode,label
0.7635140525956701,0.05642366416527244,0.9557958373961817,0.017998903146352187,0.4378323410249786,0.045754409588527126,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,1000.0,ideal,outer_race
0.7149143063908284,0.16336668766267973,0.8822200281779028,0.07559248133980791,0.37239158395598676,0.18252070706278534,0.013513513513513514,0.02702702702702703,4,cwru_48k,displacement,480.0,ideal,ball
0.7538539310200677,0.07592903945907732,0.902184653549728,0.03702914063066392,0.37806897702560127,0.09969572911700658,0.013513513513513514,0.02702702702702703,4,cwru_48k,displacement,480.0,ideal,inner_race
0.7624300709054721,0.05712254906867103,0.9558936005495066,0.01788475906686165,0.43586423990106904,0.04813871168096902,0.013513513513513514,0.02702702702702703,4,cwru_48k,displacement,480.0,ideal,outer_race
0.7246224383419573,0.15068358560855524,0.884917714775336,0.0731488645829299,0.37234174744361537,0.18248891072261908,0.013513513513513514,0.02702702702702703,4,cwru_48k,displacement,240.0,ideal,ball
0.7658194809923745,0.07432521527422953,0.9051133733045683,0.03582107572961454,0.38958899998723007,0.12784871854348925,0.013513513513513514,0.02702702702702703,4,cwru_48k,displacement,240.0,ideal,inner_race
0.7686010073155692,0.05479115866247151,0.9567744012391174,0.01755249025153519,0.44710719643206054,0.04799657374405923,0.013513513513513514,0.02702702702702703,4,cwru_48k,displacement,240.0,ideal,outer_race
0.7007295722504304,0.12411560761051454,0.8794588453827837,0.07332865987508579,0.3813127394552399,0.2008203195652322,0.013513513513513514,0.02702702702702703,4,cwru_48k,displacement,120.0,ideal,ball
0.7092372601116639,0.1102491179313188,0.8828253849300236,0.05699956932784917,0.35359166138548836,0.23135653686146002,0.013513513513513514,0.02702702702702703,4,cwru_48k,displacement,120.0,ideal,inner_race
0.7437791519814584,0.049487729792184756,0.9538459162236637,0.01868776571513221,0.49184413134368943,0.05182866336779499,0.013513513513513514,0.02702702702702703,4,cwru_48k,displacement,120.0,ideal,outer_race
0.5884117337127928,0.06483933896123395,0.8258405531019204,0.05668847395557887,0.19784876193040143,0.07558376148642743,0.05405405405405406,0.10810810810810811,4,cwru_48k,displacement,60.0,ideal,ball
0.5629238576350742,0.01513573324436218,0.7969914867768426,0.027259906669050683,0.13691015139847176,0.13453519419138876,0.05405405405405406,0.10810810810810811,4,cwru_48k,displacement,60.0,ideal,inner_race
0.6149091856873705,0.06378935289362284,0.9154814438322453,0.03442236720091538,0.2011025038917079,0.10603019384152162,0.05405405405405406,0.10810810810810811,4,cwru_48k,displacement,60.0,ideal,outer_race
0.7155632963868706,0.15848527924993489,0.8825286749478458,0.07340706044735702,0.3549557632869717,0.1774959204486115,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,4000.0,naive,ball
0.7449523327901706,0.0841734039116366,0.8992007851968874,0.039636718439712774,0.3550104237097138,0.09699552982657261,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,4000.0,naive,inner_race
0.7649448135915073,0.05463302881010756,0.9564523056674807,0.01748485421424625,0.44694381894027563,0.05552487783607582,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,4000.0,naive,outer_race
0.7155113096412722,0.15912680008811173,0.8823888792272199,0.07360223592203594,0.3549557632869717,0.1774959204486115,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,2000.0,naive,ball
0.7462271213761675,0.0842885369107926,0.899792244338795,0.039669121925173655,0.3550104237097138,0.09699552982657261,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,2000.0,naive,inner_race
0.7648177347604119,0.0545623262993438,0.9563807296139926,0.017491949544351917,0.44727252718425453,0.05471320479758377,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,2000.0,naive,outer_race
0.685881357442521,0.1908735563828478,0.8681111411580011,0.09232882188160149,0.36950365997879453,0.17136123761736907,0.033783783783783786,0.06756756756756757,4,cwru_48k,displacement,1000.0,naive,ball
0.7286700971617506,0.07136492131284036,0.893351233703326,0.03636896309065277,0.4023818458858428,0.18087867480670686,0.033783783783783786,0.06756756756756757,4,cwru_48k,displacement,1000.0,naive,inner_race
0.7547969676249855,0.06913197835649912,0.9536733274474728,0.02123453685822533,0.4627169301764099,0.06367781504201694,0.033783783783783786,0.06756756756756757,4,cwru_48k,displacement,1000.0,naive,outer_race
0.6258633510139366,0.20030932013153752,0.8517075462808594,0.09574402872271204,0.4021808566082126,0.18537233368248623,0.04173290937996821,0.0522207741226439,4,cwru_48k,displacement,480.0,naive,ball
0.6467226865179965,0.08200278600063171,0.8586537514053618,0.038906018804440376,0.3470901174983436,0.08657540814344264,0.04173290937996821,0.0522207741226439,4,cwru_48k,displacement,480.0,naive,inner_race
0.745004827433478,0.06562495334735909,0.9533745607588604,0.02044530876884575,0.533425794064092,0.09639730089520349,0.04173290937996821,0.0522207741226439,4,cwru_48k,displacement,480.0,naive,outer_race
0.6235048125932382,0.26480862726403437,0.8434101235140823,0.14228765507156468,0.4343472838137472,0.10252800637657437,0.14864864864864866,0.2972972972972973,4,cwru_48k,displacement,240.0,naive,ball
0.6034899659700931,0.21153889139942467,0.8375518843399176,0.10385853704094423,0.3503974313810192,0.07796826357042044,0.14864864864864866,0.2972972972972973,4,cwru_48k,displacement,240.0,naive,inner_race
0.6734716763952775,0.23700906991810278,0.9324385957119904,0.06415189169797415,0.4621097638751219,0.05598248757833393,0.14864864864864866,0.2972972972972973,4,cwru_48k,displacement,240.0,naive,outer_race
0.7161356842832022,0.118890171017377,0.8849553393741134,0.0703489693292513,0.39657236530407264,0.17352703026755492,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,120.0,naive,ball
0.7444593046242489,0.118147414590567,0.8970800680329868,0.05384529572448348,0.41774159118707604,0.12161090719032108,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,120.0,naive,inner_race
0.7362086215122028,0.07186588758431611,0.9503862404393301,0.023064530964173786,0.4538516044781286,0.06128209386167373,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,120.0,naive,outer_race
0.5954037162920032,0.09467594825472063,0.8306578090266641,0.07148368110169212,0.2341243628950051,0.07067195099604166,0.04173290937996821,0.0522207741226439,4,cwru_48k,displacement,60.0,naive,ball
0.5579804662909633,0.030024648689856118,0.8048545301906309,0.03225641308200623,0.1898717948717949,0.04327260195794087,0.04173290937996821,0.0522207741226439,4,cwru_48k,displacement,60.0,naive,inner_race
0.6399276767413911,0.08514774148295079,0.924947457884142,0.03565793438098441,0.3327190752844348,0.11222957085836392,0.04173290937996821,0.0522207741226439,4,cwru_48k,displacement,60.0,naive,outer_race
0.7155425598796477,0.15894343634099223,0.8825101471914634,0.07355320777223852,0.3549557632869717,0.1774959204486115,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,4000.0,boxcar,ball
0.7457002930969545,0.0835875747386421,0.8994622728068565,0.03937936702651089,0.34960892865304627,0.08990053068209662,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,4000.0,boxcar,inner_race
0.7649767624587477,0.05506977402189986,0.9563942687528633,0.017537103046458946,0.4446419574013819,0.0523624329144767,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,4000.0,boxcar,outer_race
0.7158395601766478,0.15919001292321494,0.8827187022217982,0.07348316772655773,0.3549557632869717,0.1774959204486115,0.006756756756756757,0.013513513513513514,4,cwru_48k,displacement,2000.0,boxcar,ball
