clip,group,severity,session,created,n_frames_total,n_tracked,tracking_lost,f0_hz,f0_source,primary_axis,a1_over_noise,n_warnings,seed_machine_x,seed_machine_y,seed_base_x,seed_base_y,seed_ref_x,seed_ref_y,resp_machine,resp_base,resp_ref,weak_marker,sep_machine_base,sep_machine_ref,tile_pitch_px,mach_rms,base_rms,ref_rms,seconds
IMG_8425,normal,0,S3,2026-08-22T17:24:49.000000Z,2223,2000,False,19.08,spectral_peak_x,d_machine_x,40.593,6,529,666,566,1856,932,1404,23880.5,19170.2,16473.5,False,1190.905,841.828,43.0,0.11188,0.14383,0.08986,8.88
IMG_8426,normal,0,S3,2026-08-22T17:24:30.000000Z,2222,2000,False,18.96,spectral_peak_x,d_machine_x,39.147,5,528,666,565,1856,931,1404,23958.0,19128.7,16609.6,False,1190.306,841.437,44.0,0.11299,0.1458,0.0954,8.89
IMG_8427,normal,0,S2,2026-08-22T17:02:25.000000Z,2214,2000,False,19.08,spectral_peak_x,d_machine_x,38.388,5,528,666,565,1856,932,1404,23691.7,18803.3,16305.6,False,1190.726,841.713,44.0,0.09797,0.04516,0.04995,8.66
IMG_8428,normal,0,S2,2026-08-22T17:00:56.000000Z,2229,2000,False,19.08,spectral_peak_x,d_machine_x,42.865,5,529,666,566,1856,932,1404,23881.8,18768.1,16595.9,False,1190.65,841.524,44.0,0.09645,0.08143,0.07373,8.94
IMG_8429,normal,0,S2,2026-08-22T17:01:08.000000Z,2249,2000,False,19.08,spectral_peak_x,d_machine_x,39.289,5,528,666,565,1857,931,1404,23991.4,18733.4,16201.5,False,1191.357,841.959,44.0,0.10573,0.09316,0.07387,9.03
IMG_8431,normal,0,S2,2026-08-22T17:01:20.000000Z,2240,2000,False,18.96,spectral_peak_x,d_machine_x,35.91,5,529,666,566,1857,932,1405,23340.5,18818.3,16563.1,False,1191.353,842.001,44.0,0.0969,0.04489,0.05663,8.83
IMG_8432,normal,0,S2,2026-08-22T17:00:46.000000Z,2315,2000,False,18.96,spectral_peak_x,d_machine_x,34.474,6,528,661,566,1867,937,1409,23694.8,19189.7,16819.9,False,1206.324,852.447,43.0,0.09599,0.04594,0.05388,9.11
IMG_8444,under3g,1,S6,2026-08-22T19:33:32.000000Z,2242,2000,False,19.08,spectral_peak_x,d_machine_x,117.284,4,493,747,532,1880,947,1461,20979.5,17862.6,15426.0,False,1133.811,834.084,119.0,0.83961,0.11339,0.10472,9.03
IMG_8445,under3g,1,S6,2026-08-22T19:33:42.000000Z,2232,2000,False,18.96,spectral_peak_x,d_machine_x,64.455,5,483,747,532,1880,947,1461,22022.4,17831.7,15768.9,False,1133.979,851.814,92.0,0.08837,0.10122,0.08585,9.14
IMG_8446,under3g,1,S6,2026-08-22T19:33:52.000000Z,2187,2000,False,18.84,spectral_peak_x,d_machine_x,86.654,5,483,747,532,1880,947,1461,22101.4,17844.9,15526.1,False,1133.322,851.158,119.0,0.07352,0.08464,0.07764,8.98
IMG_8447,under3g,1,S6,2026-08-22T19:34:02.000000Z,2181,2000,False,18.96,spectral_peak_x,d_machine_x,78.913,5,484,746,532,1880,947,1461,21899.2,17941.5,15157.9,False,1133.744,851.212,92.0,0.08456,0.12267,0.09261,7.49
IMG_8448,under3g,1,S6,2026-08-22T19:34:12.000000Z,2227,2000,False,18.84,spectral_peak_x,d_machine_x,80.934,6,483,746,532,1879,947,1460,22027.1,18040.9,15297.6,False,1133.378,851.369,92.0,0.10006,0.12115,0.09246,6.26
IMG_8449,under3g,1,S6,2026-08-22T19:34:22.000000Z,2227,2000,False,18.84,spectral_peak_x,d_machine_x,78.417,6,483,746,532,1880,947,1461,21755.6,17936.4,15324.2,False,1133.544,851.453,118.0,0.10276,0.05009,0.05828,6.19
