model,pca,features,criterion,n_cols,level,seed,fold
isolation_forest,auto,all,1.391607,39,clip,42,S4
isolation_forest,auto,machine,1.061649,26,clip,42,S4
isolation_forest,auto,primary,0.447506,13,clip,42,S4
isolation_forest,auto,orderband,1.235129,27,clip,42,S4
ocsvm,auto,all,254.811563,39,clip,42,S4
ocsvm,auto,machine,256.539602,26,clip,42,S4
ocsvm,auto,primary,167.132823,13,clip,42,S4
ocsvm,auto,orderband,366.432189,27,clip,42,S4
pca_recon,3,all,5.043892,39,clip,42,S4
pca_recon,3,machine,7.80792,26,clip,42,S4
pca_recon,3,primary,4.634071,13,clip,42,S4
pca_recon,3,orderband,3.428405,27,clip,42,S4
pca_recon,5,all,5.879072,39,clip,42,S4
pca_recon,5,machine,5.23411,26,clip,42,S4
pca_recon,5,primary,11.578042,13,clip,42,S4
pca_recon,5,orderband,4.00796,27,clip,42,S4
pca_recon,8,all,1537963019271737.2,39,clip,42,S4
pca_recon,8,machine,1531254203307693.0,26,clip,42,S4
pca_recon,8,primary,998470597450223.4,13,clip,42,S4
pca_recon,8,orderband,1384512541362813.2,27,clip,42,S4
pca_recon,auto,all,13.869644,39,clip,42,S4
pca_recon,auto,machine,8.940752,26,clip,42,S4
pca_recon,auto,primary,6.28295,13,clip,42,S4
pca_recon,auto,orderband,7.435582,27,clip,42,S4
mahalanobis,3,all,1.161582,39,clip,43,S1
mahalanobis,3,machine,0.952167,26,clip,43,S1
mahalanobis,3,primary,1.249959,13,clip,43,S1
mahalanobis,3,orderband,1.541584,27,clip,43,S1
mahalanobis,5,all,1.633507,39,clip,43,S1
mahalanobis,5,machine,2.110764,26,clip,43,S1
mahalanobis,5,primary,3.231898,13,clip,43,S1
mahalanobis,5,orderband,1.492031,27,clip,43,S1
mahalanobis,8,all,2093142984198.6882,39,clip,43,S1
mahalanobis,8,machine,1577621105090.712,26,clip,43,S1
mahalanobis,8,primary,495648042645.4577,13,clip,43,S1
mahalanobis,8,orderband,1580638805717.2058,27,clip,43,S1
mahalanobis,auto,all,1.948761,39,clip,43,S1
mahalanobis,auto,machine,5.734967,26,clip,43,S1
mahalanobis,auto,primary,3.067375,13,clip,43,S1
mahalanobis,auto,orderband,2.328049,27,clip,43,S1
isolation_forest,auto,all,0.851629,39,clip,43,S1
isolation_forest,auto,machine,1.072408,26,clip,43,S1
isolation_forest,auto,primary,0.622106,13,clip,43,S1
isolation_forest,auto,orderband,0.953639,27,clip,43,S1
ocsvm,auto,all,232.660914,39,clip,43,S1
ocsvm,auto,machine,226.590945,26,clip,43,S1
ocsvm,auto,primary,208.557898,13,clip,43,S1
ocsvm,auto,orderband,567.470165,27,clip,43,S1
pca_recon,3,all,3.931664,39,clip,43,S1
pca_recon,3,machine,4.583939,26,clip,43,S1
pca_recon,3,primary,3.600056,13,clip,43,S1
pca_recon,3,orderband,3.889237,27,clip,43,S1
pca_recon,5,all,5.815755,39,clip,43,S1
pca_recon,5,machine,5.427472,26,clip,43,S1
pca_recon,5,primary,7.761227,13,clip,43,S1
pca_recon,5,orderband,9.631713,27,clip,43,S1
pca_recon,8,all,3512287116810832.0,39,clip,43,S1
pca_recon,8,machine,1177532706940760.8,26,clip,43,S1
