roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,group,variant,detector,n_windows,n_features
0.7076860316611183,0.06899086152187059,0.9881904079409309,0.004644034131017169,0.10542599568193248,0.021432460289524006,0.020522875816993462,0.03635420792024604,5,mafaulda,order_tolerance,0.1,mahalanobis,33167,13
0.7097950608977005,0.05398830875144485,0.9880526084881677,0.0035762629220883937,0.1147684826188842,0.019690463344954136,0.024052287581699347,0.034681810393165244,5,mafaulda,order_tolerance,0.15,mahalanobis,33167,13
0.7011385209825629,0.06904342142934157,0.9880332419533886,0.004094561554795813,0.11793136922247856,0.030258895684591027,0.021568627450980392,0.03242712825204162,5,mafaulda,order_tolerance,0.2,mahalanobis,33167,13
0.714744246908539,0.05934846367654727,0.9885243652371878,0.0037271740387972256,0.10611408578717425,0.015965732515714513,0.021176470588235293,0.02300894966542111,5,mafaulda,bands,research_bands,mahalanobis,33167,13
0.6966388009741163,0.0688110974101618,0.9873671755381069,0.004572852347211843,0.09899202463171397,0.020359383525645647,0.018823529411764704,0.023307779713128175,5,mafaulda,bands,appspec_bands,mahalanobis,33167,13
0.714744246908539,0.05934846367654727,0.9885243652371878,0.0037271740387972256,0.10611408578717425,0.015965732515714513,0.021176470588235293,0.02300894966542111,5,mafaulda,rms_order_min,0.1,mahalanobis,33167,13
0.5823816870179717,0.10642647422518396,0.9798362039213971,0.008090706017571633,0.08012486780931467,0.021684486219857045,0.03738562091503268,0.07081089308397277,5,mafaulda,rms_order_min,0.2,mahalanobis,33167,13
0.7147,,,,0.6084,,0.1106,,,mafaulda,threshold_percentile,90,,,
0.7147,,,,0.4182,,0.0675,,,mafaulda,threshold_percentile,95,,,
0.7147,,,,0.1556,,0.0374,,,mafaulda,threshold_percentile,97.5,,,
0.7147,,,,0.1061,,0.0212,,,mafaulda,threshold_percentile,99,,,
0.7147,,,,0.0922,,0.0176,,,mafaulda,threshold_percentile,99.5,,,
0.6917001122305932,0.21652218527866698,0.9638177087879298,0.034323255028522,0.5020153636956547,0.028169312925416076,0.11486486486486487,0.22972972972972977,4,cwru_48k,detrend,constant,mahalanobis,1737,13
0.6922216949416496,0.21683364422459467,0.9638615774945861,0.03433979718066265,0.500155940446914,0.028521840703710416,0.11486486486486487,0.22972972972972977,4,cwru_48k,detrend,linear,mahalanobis,1737,13
0.6935202876321466,0.215864200354166,0.9641277386451013,0.03407257031867011,0.5102935044799353,0.03177936318484605,0.11486486486486487,0.22972972972972977,4,cwru_48k,detrend,poly2,mahalanobis,1737,13
0.6935523152131784,0.21597669495331348,0.9641303321593901,0.03412211180613597,0.5140997769028424,0.031826195955890695,0.11486486486486487,0.22972972972972977,4,cwru_48k,detrend,poly3,mahalanobis,1737,13
0.6922216949416496,0.21683364422459467,0.9638615774945861,0.03433979718066265,0.500155940446914,0.028521840703710416,0.11486486486486487,0.22972972972972977,4,cwru_48k,window_fn,hann,mahalanobis,1737,13
0.6653678440059813,0.16761405991147468,0.9617946144336845,0.026481336152236752,0.2734494339267333,0.033818711641200004,0.033783783783783786,0.03400826322194032,4,cwru_48k,window_fn,hamming,mahalanobis,1737,13
