roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,detector,fs_hz,label
0.8074648770059442,0.08738138400103508,0.9317674337118877,0.036667220334409695,0.2996679197433764,0.16562982411519778,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,4000.0,underhang_cage_fault
0.8118829325288381,0.0785005875765867,0.9273092167478794,0.03949198685689335,0.28014051153918096,0.15290412760382782,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,4000.0,underhang_outer_race
0.6948073124460328,0.09788065620142526,0.9233605437074333,0.02547092498165569,0.13081855474551157,0.05857555327842659,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,4000.0,vertical_misalignment
0.6823047052908644,0.06577662575835115,0.8864942419120518,0.03380451639752226,0.4184948914888976,0.07338979814723331,0.10980392156862746,0.08505149174233853,5,mafaulda,ocsvm,4000.0,horizontal_misalignment
0.9151833193613911,0.026094449761112665,0.9838331748948856,0.009135299164105595,0.905427601095656,0.02453142994015227,0.10980392156862746,0.08505149174233853,5,mafaulda,ocsvm,4000.0,imbalance
0.993869279011532,0.006485632335098137,0.9974741432790344,0.002722627447236084,0.9772302532963296,0.013644540916306458,0.10980392156862746,0.08505149174233853,5,mafaulda,ocsvm,4000.0,overhang_ball_fault
0.92904519161303,0.025741367835120616,0.9747955502974983,0.017337618579361773,0.9050384268660725,0.0071480254522119195,0.10980392156862746,0.08505149174233853,5,mafaulda,ocsvm,4000.0,overhang_cage_fault
0.9511906953393021,0.03140125543487009,0.9854466658913964,0.010780398790378625,0.936008627742123,0.027635042097556316,0.10980392156862746,0.08505149174233853,5,mafaulda,ocsvm,4000.0,overhang_outer_race
0.9419801608200806,0.024171427041124384,0.9804009954400665,0.010347739047464609,0.8864705824969418,0.024382072903628593,0.10980392156862746,0.08505149174233853,5,mafaulda,ocsvm,4000.0,underhang_ball_fault
0.9134944268617552,0.034859267870118574,0.9684997508329631,0.015371670771702225,0.8246464712456225,0.01291764235506075,0.10980392156862746,0.08505149174233853,5,mafaulda,ocsvm,4000.0,underhang_cage_fault
0.9082276278585392,0.034964042542278355,0.966223332641135,0.02245785427084114,0.8270611781384783,0.04885070229173619,0.10980392156862746,0.08505149174233853,5,mafaulda,ocsvm,4000.0,underhang_outer_race
0.7860576407140591,0.05479643785438191,0.9505415306027356,0.019127163066839807,0.6230261032039213,0.09005631762204043,0.10980392156862746,0.08505149174233853,5,mafaulda,ocsvm,4000.0,vertical_misalignment
0.6195698104279419,0.0976664607040148,0.8584379523372008,0.04195398414791404,0.11336314721567789,0.055048875157770356,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,2000.0,horizontal_misalignment
0.8896382075502046,0.04408122232671612,0.9764065152508812,0.01149622700321157,0.5203286319841116,0.24571205369247004,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,2000.0,imbalance
0.9806804668127235,0.019830511241384977,0.9921790329476863,0.007649628723485197,0.8491666008670464,0.04784903354098131,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,2000.0,overhang_ball_fault
0.8731098171564389,0.07823096423570952,0.9511299395102497,0.03646503562059127,0.4500954294449663,0.2174142596655953,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,2000.0,overhang_cage_fault
0.9053541722381642,0.07218312799756155,0.9690474742375755,0.02625958384598126,0.6175967233017002,0.19323033510479046,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,2000.0,overhang_outer_race
0.8646279059974198,0.07235449598263191,0.9541095487604412,0.02507433233034929,0.3610987605439179,0.06933388170786997,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,2000.0,underhang_ball_fault
0.8071541692849287,0.08678330023982515,0.9316474284308199,0.036147181176116455,0.28660698654142475,0.15758908562746438,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,2000.0,underhang_cage_fault
0.8111316160451107,0.07887110264745732,0.9271843342880863,0.03894186550368009,0.27083444136666046,0.14579179642090492,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,2000.0,underhang_outer_race
0.694749257851646,0.09961001982804028,0.9232084025169207,0.026153510026756577,0.1300647052508917,0.06000097994522005,0.017516339869281045,0.020520169672964123,5,mafaulda,mahalanobis,2000.0,vertical_misalignment
0.6831268545628406,0.06613959542090296,0.8866604144957633,0.033918773039747295,0.42847355684150035,0.07445093770417582,0.11098039215686276,0.08430916540336021,5,mafaulda,ocsvm,2000.0,horizontal_misalignment
0.9151102218452319,0.02613665859713148,0.9838069132007353,0.009206475301637974,0.9058246221220289,0.025372904398039856,0.11098039215686276,0.08430916540336021,5,mafaulda,ocsvm,2000.0,imbalance
0.9939973331380483,0.006524512795133385,0.9975163148294353,0.0027412755731552455,0.9774494776328613,0.013444237123959391,0.11098039215686276,0.08430916540336021,5,mafaulda,ocsvm,2000.0,overhang_ball_fault
0.9291730885866745,0.02602945220373621,0.9748538384307434,0.017393835859834974,0.905793766678293,0.006483956543554703,0.11098039215686276,0.08430916540336021,5,mafaulda,ocsvm,2000.0,overhang_cage_fault
0.9517116570221653,0.031116952307599557,0.9856075892410194,0.010663508332892356,0.9372879662934981,0.026196241674620365,0.11098039215686276,0.08430916540336021,5,mafaulda,ocsvm,2000.0,overhang_outer_race
0.9418977382044218,0.02457830611753649,0.9802722465669375,0.0105602168789486,0.8896978933377824,0.02069964671027349,0.11098039215686276,0.08430916540336021,5,mafaulda,ocsvm,2000.0,underhang_ball_fault
0.9140966025212975,0.03462853395848111,0.9686393697029582,0.01536303563539844,0.8294643297375488,0.014478470475095406,0.11098039215686276,0.08430916540336021,5,mafaulda,ocsvm,2000.0,underhang_cage_fault
0.9087531245201372,0.03501496947858211,0.9663159632963024,0.0225173388439118,0.8322388716273081,0.047815784930317594,0.11098039215686276,0.08430916540336021,5,mafaulda,ocsvm,2000.0,underhang_outer_race
0.7871183802782873,0.054951458048751935,0.950667881901287,0.019351661645651535,0.6324526387753491,0.08435941900524771,0.11098039215686276,0.08430916540336021,5,mafaulda,ocsvm,2000.0,vertical_misalignment
0.620018030540522,0.09144668381513103,0.857902083712859,0.039320751175017946,0.10710919038731397,0.052202674066389176,0.019869281045751634,0.019501892397476354,5,mafaulda,mahalanobis,1000.0,horizontal_misalignment
0.9034362579469226,0.034135982873610846,0.980495036209305,0.008493638630755064,0.517504133970897,0.23280020501280063,0.019869281045751634,0.019501892397476354,5,mafaulda,mahalanobis,1000.0,imbalance
0.9887026764227841,0.008989333602965796,0.9952812480719799,0.0036454748354936544,0.8592270920553293,0.0643457694090447,0.019869281045751634,0.019501892397476354,5,mafaulda,mahalanobis,1000.0,overhang_ball_fault
0.8936250364369103,0.04193611924249367,0.962714271321014,0.018266099879264967,0.45867787715973946,0.10749888331202939,0.019869281045751634,0.019501892397476354,5,mafaulda,mahalanobis,1000.0,overhang_cage_fault
0.9218054386566497,0.04778257690005355,0.9761038459509113,0.014447201372807042,0.618090649549602,0.07155447360907438,0.019869281045751634,0.019501892397476354,5,mafaulda,mahalanobis,1000.0,overhang_outer_race
0.8635437185500926,0.07039128813489687,0.9543213549375988,0.02363224161721986,0.35642160996791405,0.11304651879993521,0.019869281045751634,0.019501892397476354,5,mafaulda,mahalanobis,1000.0,underhang_ball_fault
0.8145990463236865,0.07389650351966884,0.93810340379447,0.022978345175671353,0.28120640103225536,0.16464861769219422,0.019869281045751634,0.019501892397476354,5,mafaulda,mahalanobis,1000.0,underhang_cage_fault
0.8208164681405743,0.0754801983459662,0.9378257181355494,0.02762157455685555,0.28099412084278835,0.1969609447431593,0.019869281045751634,0.019501892397476354,5,mafaulda,mahalanobis,1000.0,underhang_outer_race
0.6921617263641768,0.10671689531613107,0.9225961587601141,0.028150058189411166,0.1356705810360494,0.07770823836781306,0.019869281045751634,0.019501892397476354,5,mafaulda,mahalanobis,1000.0,vertical_misalignment
