roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,detector,label
0.8526895279909301,0.0664407570574347,0.947182874930032,0.043570025432726964,0.08335108170152591,0.03356197975255537,0.024836601307189544,0.05553632885293596,5,mafaulda,isolation_forest,overhang_cage_fault
0.9196098885262971,0.06632146183159562,0.9663725152345881,0.042508225764464246,0.1352855216469008,0.051374312745728894,0.024836601307189544,0.05553632885293596,5,mafaulda,isolation_forest,overhang_outer_race
0.7171485636064038,0.07541931342473696,0.9011221049645679,0.047823776379752644,0.03997216578249639,0.010531674940230197,0.024836601307189544,0.05553632885293596,5,mafaulda,isolation_forest,underhang_ball_fault
0.7756202095375289,0.07051824437052488,0.9217214121949621,0.045003423858750065,0.05969460470546284,0.013965484760193717,0.024836601307189544,0.05553632885293596,5,mafaulda,isolation_forest,underhang_cage_fault
0.7634623666342237,0.09336061382507861,0.9167660783671181,0.056112528495164675,0.051122739037938125,0.02534094042328699,0.024836601307189544,0.05553632885293596,5,mafaulda,isolation_forest,underhang_outer_race
0.5637675526226776,0.0628362951461503,0.8803563637884636,0.026600731365559734,0.0072698195147479685,0.010834192897648599,0.024836601307189544,0.05553632885293596,5,mafaulda,isolation_forest,vertical_misalignment
0.5497041276037816,0.08770060884275699,0.8290519333416839,0.039604421841094285,0.1918830592110801,0.05016220871224837,0.09137254901960784,0.07462066056708354,5,mafaulda,ocsvm,horizontal_misalignment
0.8592862519738519,0.0150664874690226,0.9735611007263053,0.011411300543555427,0.8402774008679843,0.024971701426472544,0.09137254901960784,0.07462066056708354,5,mafaulda,ocsvm,imbalance
0.9357530884539728,0.022907168146241372,0.9755040513684886,0.009998682237055849,0.8900300542936836,0.023653920626818727,0.09137254901960784,0.07462066056708354,5,mafaulda,ocsvm,overhang_ball_fault
0.8168938087604998,0.060311620903303415,0.9439878181763663,0.026821289414686252,0.7685360138249262,0.06200595562160705,0.09137254901960784,0.07462066056708354,5,mafaulda,ocsvm,overhang_cage_fault
0.9385479542554757,0.032032067848423884,0.9777855974016632,0.014902226404515839,0.8995209029007707,0.030405225408576018,0.09137254901960784,0.07462066056708354,5,mafaulda,ocsvm,overhang_outer_race
0.7634975605727745,0.05397126490763331,0.9164642984618723,0.02733085572385183,0.5396348801486,0.056393410982329945,0.09137254901960784,0.07462066056708354,5,mafaulda,ocsvm,underhang_ball_fault
0.8008552405984567,0.04739814299048918,0.9348789141494122,0.022894500884521142,0.6582098491479724,0.038146032331897915,0.09137254901960784,0.07462066056708354,5,mafaulda,ocsvm,underhang_cage_fault
0.8231408686656667,0.036519451081205516,0.9372763250013845,0.026632467844404265,0.6401870863787427,0.041960877741631875,0.09137254901960784,0.07462066056708354,5,mafaulda,ocsvm,underhang_outer_race
0.6548714008693588,0.029010600275719098,0.9157658328827296,0.013365226026173705,0.34264758886034635,0.1132028287904946,0.09137254901960784,0.07462066056708354,5,mafaulda,ocsvm,vertical_misalignment
0.521473033054348,0.08341317838757718,0.7957812923206408,0.043337112878834336,0.052820288947646274,0.037396614157409164,0.061960784313725495,0.08730005441116423,5,mafaulda,pca_recon,horizontal_misalignment
0.8055371946669784,0.06775567528191262,0.9439055882643791,0.03298737467444787,0.11764297275213206,0.022706663962480007,0.061960784313725495,0.08730005441116423,5,mafaulda,pca_recon,imbalance
0.890904414053203,0.051462994816649746,0.9517049423246784,0.028339687180587915,0.6465718552941255,0.06551515234518776,0.061960784313725495,0.08730005441116423,5,mafaulda,pca_recon,overhang_ball_fault
0.7609747919472923,0.08184652937024943,0.8895514396640122,0.05476979335073527,0.0939515987351682,0.031233317520037326,0.061960784313725495,0.08730005441116423,5,mafaulda,pca_recon,overhang_cage_fault
0.8598236754328541,0.06862282716306292,0.9393662139061073,0.04601856490331537,0.2976955722855667,0.12850011243546594,0.061960784313725495,0.08730005441116423,5,mafaulda,pca_recon,overhang_outer_race
0.662965814111325,0.08451181603647415,0.8620270985617544,0.04937843043010415,0.13078819955639856,0.03879488202456138,0.061960784313725495,0.08730005441116423,5,mafaulda,pca_recon,underhang_ball_fault
0.7129124043001297,0.06630500498267415,0.8766222560026116,0.041166092317587416,0.1226908845287364,0.05368356122634909,0.061960784313725495,0.08730005441116423,5,mafaulda,pca_recon,underhang_cage_fault
0.7028236771950729,0.07881263926745091,0.8725382959868906,0.05057575777013539,0.0966048478776742,0.038258787935765724,0.061960784313725495,0.08730005441116423,5,mafaulda,pca_recon,underhang_outer_race
0.5257208030538907,0.0737814560031854,0.8727582270608577,0.025999314689840458,0.12078895303311273,0.0981072132076999,0.061960784313725495,0.08730005441116423,5,mafaulda,pca_recon,vertical_misalignment
