roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,far_mean,far_std,n_folds,dataset,noise_type,snr_db,label
0.6470375110131075,0.10156118503614792,0.8642130336525853,0.055755976171173845,0.08801980430159399,0.051477010108458426,0.019869281045751634,0.020369729581104248,5,mafaulda,white,30,underhang_ball_fault
0.7093570368766143,0.09367161551605495,0.8925745981443665,0.047611230579120464,0.11471963558266123,0.025027045406113415,0.019869281045751634,0.020369729581104248,5,mafaulda,white,30,underhang_cage_fault
0.6924901141048776,0.09231275395944713,0.8779116549053724,0.05127371997496185,0.06145853918078259,0.024289744262677004,0.019869281045751634,0.020369729581104248,5,mafaulda,white,30,underhang_outer_race
0.5685231216240917,0.07145390699704371,0.885791197390704,0.02401292790669035,0.07167676826803467,0.056433544338248466,0.019869281045751634,0.020369729581104248,5,mafaulda,white,30,vertical_misalignment
0.5513243279212137,0.07207186556075632,0.8316442901400796,0.03551371390653323,0.07200676627260463,0.03429787921260981,0.016078431372549017,0.014435421426906637,5,mafaulda,white,20,horizontal_misalignment
0.8508987584533729,0.050337381639046656,0.9626598407066413,0.01914198396375393,0.07611052068501234,0.015651150150193565,0.016078431372549017,0.014435421426906637,5,mafaulda,white,20,imbalance
0.8585041162434474,0.028233093016560185,0.9319285055370388,0.020317411692944987,0.17648339199367388,0.06401502342601172,0.016078431372549017,0.014435421426906637,5,mafaulda,white,20,overhang_ball_fault
0.8238333270440356,0.07147112627878179,0.930528365371492,0.03489872238175167,0.07479143803193693,0.022610087114159315,0.016078431372549017,0.014435421426906637,5,mafaulda,white,20,overhang_cage_fault
0.8736888263240475,0.05988407466935242,0.9437715941257462,0.032312392205065085,0.07551031929754129,0.00964822575518993,0.016078431372549017,0.014435421426906637,5,mafaulda,white,20,overhang_outer_race
0.7061998476349232,0.08647525803940419,0.88387284915609,0.0450871685475274,0.06605180116340352,0.03633572653027843,0.016078431372549017,0.014435421426906637,5,mafaulda,white,20,underhang_ball_fault
0.743196286798545,0.08023911384891735,0.9051902067385171,0.038090522045524065,0.09897262885175846,0.033033152692899734,0.016078431372549017,0.014435421426906637,5,mafaulda,white,20,underhang_cage_fault
0.763466315219487,0.07949592085461586,0.9033727820093775,0.04158120698903535,0.055570552618830496,0.02313656456566532,0.016078431372549017,0.014435421426906637,5,mafaulda,white,20,underhang_outer_race
0.6017570417430875,0.053226359662317646,0.8964292408962808,0.019221408581246727,0.072833780909645,0.0193541207028195,0.016078431372549017,0.014435421426906637,5,mafaulda,white,20,vertical_misalignment
0.5599880470036179,0.047808551975871146,0.8343201553387123,0.024735610392355476,0.056332396709177404,0.04929998834127561,0.014248366013071894,0.01467607727638103,5,mafaulda,white,10,horizontal_misalignment
0.8574784252168955,0.038150832365414084,0.9658805270651216,0.013382155269520966,0.08228043563394383,0.017693330965830166,0.014248366013071894,0.01467607727638103,5,mafaulda,white,10,imbalance
0.8188260823574165,0.02742502101467132,0.9139543575270233,0.021562050733321198,0.11101438026611832,0.03677527067090899,0.014248366013071894,0.01467607727638103,5,mafaulda,white,10,overhang_ball_fault
0.8282744627709115,0.054514202466217125,0.9352496493026091,0.027657789828832893,0.08010117257655329,0.010664629532383792,0.014248366013071894,0.01467607727638103,5,mafaulda,white,10,overhang_cage_fault
0.8533544216224968,0.05090644063323245,0.9420071447023096,0.024381968676967212,0.08443809998856334,0.023106468547418806,0.014248366013071894,0.01467607727638103,5,mafaulda,white,10,overhang_outer_race
0.6996924478658225,0.061257650615826,0.8838153648331184,0.033058335504270196,0.05159057857070741,0.01260513237545499,0.014248366013071894,0.01467607727638103,5,mafaulda,white,10,underhang_ball_fault
0.7285045088796682,0.048973915144785524,0.9018254298804713,0.025653471684746132,0.07676838532233021,0.009449916708431148,0.014248366013071894,0.01467607727638103,5,mafaulda,white,10,underhang_cage_fault
0.750654841692904,0.060162984647702526,0.903659261326369,0.03231112891735428,0.052044249214879025,0.011777401175506698,0.014248366013071894,0.01467607727638103,5,mafaulda,white,10,underhang_outer_race
0.5965184954084495,0.03275037496587745,0.8953493702115338,0.014371582609682338,0.061888619321186944,0.010598068287044926,0.014248366013071894,0.01467607727638103,5,mafaulda,white,10,vertical_misalignment
0.5227802521712557,0.056435605042615966,0.8123117426403116,0.03158121306855008,0.04444119321983196,0.037864507457707405,0.021437908496732026,0.028963173059111016,5,mafaulda,white,5,horizontal_misalignment
0.8377461822341232,0.047639006750041235,0.9595947428250732,0.017811628324028352,0.07487697473237419,0.012388244912210878,0.021437908496732026,0.028963173059111016,5,mafaulda,white,5,imbalance
0.7697343004013517,0.04003280087891909,0.8850522994444685,0.031184317027340848,0.06119307420409904,0.014333806466864359,0.021437908496732026,0.028963173059111016,5,mafaulda,white,5,overhang_ball_fault
0.7972070759522956,0.05770007736905757,0.9201482311117368,0.031133683186320933,0.06539944996570637,0.020420235892903264,0.021437908496732026,0.028963173059111016,5,mafaulda,white,5,overhang_cage_fault
0.8298810064845397,0.05773316917094965,0.9300132048134971,0.0312512821682245,0.07606139811283352,0.00428574831179495,0.021437908496732026,0.028963173059111016,5,mafaulda,white,5,overhang_outer_race
0.6558181145997573,0.07417140049042929,0.8620497847086164,0.036271363575915906,0.036387089256879855,0.01114436999794634,0.021437908496732026,0.028963173059111016,5,mafaulda,white,5,underhang_ball_fault
0.6929144059375347,0.056570173587588694,0.8832572145137589,0.03024835467309314,0.056267198200395885,0.00993177065508217,0.021437908496732026,0.028963173059111016,5,mafaulda,white,5,underhang_cage_fault
0.7031356847043122,0.07432063021202918,0.881349116571943,0.03995643162842617,0.04354106877751286,0.0068975166400164776,0.021437908496732026,0.028963173059111016,5,mafaulda,white,5,underhang_outer_race
0.5574149833082275,0.046064944148895254,0.8777918179629527,0.01938980022392774,0.03657433310147915,0.020678987312461837,0.021437908496732026,0.028963173059111016,5,mafaulda,white,5,vertical_misalignment
0.5284032669880421,0.05931045992509317,0.8123726070059082,0.030158036197068347,0.04286952009747579,0.03345373158702553,0.02431372549019608,0.04142316390941247,5,mafaulda,white,0,horizontal_misalignment
0.8340344466197898,0.048632625358046425,0.9636457658691683,0.018310587850408525,0.2151879329512846,0.07180289481410113,0.02431372549019608,0.04142316390941247,5,mafaulda,white,0,imbalance
0.7653117238180676,0.0381766698454682,0.89119496022366,0.02937540264331204,0.17838506473884302,0.029082001392167992,0.02431372549019608,0.04142316390941247,5,mafaulda,white,0,overhang_ball_fault
0.7968086133848289,0.05674822964779336,0.9279506341133186,0.030695915263155064,0.22074437708358446,0.05516755251267308,0.02431372549019608,0.04142316390941247,5,mafaulda,white,0,overhang_cage_fault
0.8285034752472379,0.053547492434912976,0.9386974446066484,0.029845543596709757,0.24684359789201005,0.09320496062778698,0.02431372549019608,0.04142316390941247,5,mafaulda,white,0,overhang_outer_race
0.649982493876138,0.05864723343516455,0.8653839122146604,0.03343161721134161,0.06780675556316088,0.021942265329506157,0.02431372549019608,0.04142316390941247,5,mafaulda,white,0,underhang_ball_fault
0.691739094767687,0.05425382819992872,0.8888593203143544,0.02784418390432888,0.11295824614414782,0.03791898723992386,0.02431372549019608,0.04142316390941247,5,mafaulda,white,0,underhang_cage_fault
0.6942404111146903,0.07712277797877337,0.8875876628303171,0.041002857843778995,0.12104525875238017,0.03982619960064533,0.02431372549019608,0.04142316390941247,5,mafaulda,white,0,underhang_outer_race
0.5450552792851846,0.04818498740412892,0.8730043751005028,0.01809440635076315,0.037029519100929886,0.017517739195632338,0.02431372549019608,0.04142316390941247,5,mafaulda,white,0,vertical_misalignment
0.5050385009710269,0.08658880287496377,0.8111863397969203,0.04498726104993132,0.08191984985993714,0.04988391874842253,0.021176470588235293,0.02300894966542111,5,mafaulda,shake,30,horizontal_misalignment
0.8207627028605182,0.04831761156019173,0.9570422448983351,0.02052708577988203,0.09259744476522873,0.019436952030326856,0.021176470588235293,0.02300894966542111,5,mafaulda,shake,30,imbalance
0.8771678373600711,0.04722916372708789,0.9447764542477854,0.024950440508995936,0.3246546955085624,0.08819156549885727,0.021176470588235293,0.02300894966542111,5,mafaulda,shake,30,overhang_ball_fault
