roc_auc,pr_auc,f1,far,n_norm,n_anom,condition,fs_hz,mode,label,subset,n_fault_windows
0.507056092069554,0.8087868326274611,0.08373682711478211,0.01800720288115246,833,3349,240Hz_boxcar,240.0,boxcar,horizontal_misalignment,all_severities,3349
0.8239094259855506,0.9572633839102077,0.08953214405923932,0.01800720288115246,833,5661,240Hz_boxcar,240.0,boxcar,imbalance,all_severities,5661
0.8780427585375068,0.9439061477724615,0.33167259786476866,0.01800720288115246,833,2329,240Hz_boxcar,240.0,boxcar,overhang_ball_fault,all_severities,2329
0.8263281302917326,0.7958867452621765,0.19574468085106383,0.01800720288115246,833,833,240Hz_boxcar,240.0,boxcar,overhang_ball_fault,added_mass_0g_only,833
0.9068384038107221,0.9369292344212107,0.396816976127321,0.01800720288115246,833,1496,240Hz_boxcar,240.0,boxcar,overhang_ball_fault,added_mass_above_0g,1496
0.7924559060169749,0.9195494451269901,0.07609346914319952,0.01800720288115246,833,3196,240Hz_boxcar,240.0,boxcar,overhang_cage_fault,all_severities,3196
0.561483176704055,0.5656465768156589,0.09652076318742986,0.01800720288115246,833,833,240Hz_boxcar,240.0,boxcar,overhang_cage_fault,added_mass_0g_only,833
0.8738779472855582,0.9225761702494415,0.06823720552396426,0.01800720288115246,833,2363,240Hz_boxcar,240.0,boxcar,overhang_cage_fault,added_mass_above_0g,2363
0.8882742083066019,0.9472330305878183,0.10448642266824085,0.01800720288115246,833,3196,240Hz_boxcar,240.0,boxcar,overhang_outer_race,all_severities,3196
0.8651729599402787,0.8067844139361058,0.1197339246119734,0.01800720288115246,833,833,240Hz_boxcar,240.0,boxcar,overhang_outer_race,added_mass_0g_only,833
0.8964178138458092,0.9328411535519021,0.09836065573770492,0.01800720288115246,833,2363,240Hz_boxcar,240.0,boxcar,overhang_outer_race,added_mass_above_0g,2363
0.6524928757081581,0.8647200866472002,0.08959711365003006,0.01800720288115246,833,3162,240Hz_boxcar,240.0,boxcar,underhang_ball_fault,all_severities,3162
0.5542419320669444,0.5537498209745364,0.12364425162689804,0.01800720288115246,833,850,240Hz_boxcar,240.0,boxcar,underhang_ball_fault,added_mass_0g_only,850
0.6886145461644865,0.8402262205919329,0.07606448945845391,0.01800720288115246,833,2312,240Hz_boxcar,240.0,boxcar,underhang_ball_fault,added_mass_above_0g,2312
0.7061974977725758,0.8916015982908694,0.11284161034381428,0.01800720288115246,833,3196,240Hz_boxcar,240.0,boxcar,underhang_cage_fault,all_severities,3196
0.5752548318246866,0.5869398889518591,0.1565217391304348,0.01800720288115246,833,833,240Hz_boxcar,240.0,boxcar,underhang_cage_fault,added_mass_0g_only,833
0.7523571426031267,0.8762101410577166,0.09607686148919135,0.01800720288115246,833,2363,240Hz_boxcar,240.0,boxcar,underhang_cage_fault,added_mass_above_0g,2363
0.7015632339892479,0.8799843213698748,0.06226880394574599,0.01800720288115246,833,3128,240Hz_boxcar,240.0,boxcar,underhang_outer_race,all_severities,3128
0.5488197680032397,0.5226863366949548,0.04608294930875576,0.01800720288115246,833,833,240Hz_boxcar,240.0,boxcar,underhang_outer_race,added_mass_0g_only,833
